run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
run_number1
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
CUTE-1 (CO-55),33,6:24:58,0:00:13.939394,2
run_number2
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
CUTE-1 (CO-55),33,6:24:58,0:00:13.939394,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
CUBESAT XI-IV (CO-57),32,6:18:34,0:00:16.031250,2
CUTE-1 (CO-55),33,6:24:58,0:00:13.939394,2
run_number3
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),32,6:14:31,0:00:22.343750,2
CUBESAT XI-IV (CO-57),32,6:18:34,0:00:16.031250,2
CUTE-1 (CO-55),33,6:24:58,0:00:13.939394,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),31,6:01:54,0:00:23.064516,2
CUBESAT XI-IV (CO-57),32,6:18:34,0:00:16.031250,2
CUBESAT XI 5,24,3:28:04,0:00:06.333333,2
CUTE-1 (CO-55),33,6:18:55,0:00:13.939394,2
run_number4
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),31,6:01:54,0:00:23.064516,2
CUBESAT XI-IV (CO-57),32,6:18:34,0:00:16.031250,2
CUBESAT XI 5,24,3:28:04,0:00:06.333333,2
CUTE-1 (CO-55),33,6:18:55,0:00:13.939394,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),29,5:27:51,0:00:24.655172,2
CUBESAT XI-IV (CO-57),30,5:34:39,0:00:17.100000,2
CUBESAT XI 5,30,4:50:49,0:00:05.066667,2
CUTE-1.7+APD II (CO-65),18,2:50:52,0:00:37,2
CUTE-1 (CO-55),28,4:56:28,0:00:16.428571,2
run_number5
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),29,5:27:51,0:00:24.655172,2
CUBESAT XI-IV (CO-57),30,5:34:39,0:00:17.100000,2
CUBESAT XI 5,30,4:50:49,0:00:05.066667,2
CUTE-1.7+APD II (CO-65),18,2:50:52,0:00:37,2
CUTE-1 (CO-55),28,4:56:28,0:00:16.428571,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),28,5:29:58,0:00:25.535714,2
CUBESAT XI-IV (CO-57),26,4:48:07,0:00:19.730769,2
CUBESAT XI 5,24,3:06:52,0:00:06.333333,2
CUTE-1.7+APD II (CO-65),19,3:11:38,0:00:41.684211,2
CUTE-1 (CO-55),30,5:38:47,0:00:15.333333,2
COMPASS-1,20,3:29:05,0:00:32.650000,2
run_number6
sat_name,num_passes,contact_time,avg_pass_time,priority
EYESAT-1 (AO-27),28,5:29:58,0:00:25.535714,2
CUBESAT XI-IV (CO-57),26,4:48:07,0:00:19.730769,2
CUBESAT XI 5,24,3:06:52,0:00:06.333333,2
CUTE-1.7+APD II (CO-65),19,3:11:38,0:00:41.684211,2
CUTE-1 (CO-55),30,5:38:47,0:00:15.333333,2
COMPASS-1,20,3:29:05,0:00:32.650000,2
run_numberunspecified
sat_name,num_passes,contact_time,avg_pass_time,priority
CUBESAT XI-IV (CO-57),29,5:15:05,0:00:17.689655,2
EYESAT-1 (AO-27),28,5:26:41,0:00:25.535714,2
COMPASS-1,12,2:18:18,0:00:54.416667,2
CUBESAT XI 5,27,4:08:39,0:00:05.629630,2
CUTE-1.7+APD II (CO-65),18,2:57:42,0:00:19.388889,2
CUTE-1 (CO-55),28,5:18:35,0:00:10.571429,2
AAUSAT-II,9,1:22:09,0:01:15.222222,2
run_number7
sat_name,num_passes,contact_time,avg_pass_time,priority
CUBESAT XI-IV (CO-57),29,5:15:05,0:00:17.689655,2
EYESAT-1 (AO-27),28,5:26:41,0:00:25.535714,2
COMPASS-1,12,2:18:18,0:00:54.416667,2
CUBESAT XI 5,27,4:08:39,0:00:05.629630,2
CUTE-1.7+APD II (CO-65),18,2:57:42,0:00:19.388889,2
CUTE-1 (CO-55),28,5:18:35,0:00:10.571429,2
AAUSAT-II,9,1:22:09,0:01:15.222222,2
run_numberunspecified
